Time	Especie_1	Especie_2	Especie_3	Especie_4	Especie_5	
0.00	0.6077	0.7263	0.7280	0.8673	0.5051	
0.01	0.6968	0.7241	0.7497	0.8043	0.5633	
0.02	0.6541	0.7611	0.7670	0.8149	0.5674	
0.03	0.6922	0.7990	0.7533	0.8190	0.5892	
0.04	0.7469	0.8430	0.8044	0.7803	0.6630	
0.05	0.6624	0.8387	0.7929	0.7835	0.6387	
0.06	0.6767	0.8648	0.7218	0.8020	0.6339	
0.07	0.6376	0.9175	0.6983	0.8216	0.6316	
0.08	0.5530	0.8886	0.6736	0.8007	0.6155	
0.09	0.5792	0.9110	0.6617	0.8151	0.6144	
0.10	0.6232	0.8719	0.7061	0.8076	0.6377	
0.11	0.6780	0.9302	0.6659	0.8325	0.6965	
0.12	0.6712	0.9903	0.6251	0.8726	0.6885	
0.13	0.6571	1.0070	0.6349	0.8573	0.7252	
0.14	0.6397	1.0988	0.6552	0.8809	0.7697	
0.15	0.7752	1.1606	0.6416	0.8757	0.8623	
0.16	0.8132	1.1379	0.6707	0.9241	0.7884	
0.17	0.7727	1.0863	0.6774	0.9407	0.7587	
0.18	0.8713	1.1067	0.6874	0.9373	0.8802	
0.19	0.8909	1.0692	0.7111	0.9934	0.8724	
0.20	0.8384	1.0618	0.7019	1.0204	0.8777	
0.21	0.8735	1.1378	0.6843	1.0405	0.9576	
0.22	0.9585	1.1189	0.6786	1.0676	0.9506	
0.23	1.0388	1.0948	0.7063	1.0960	0.9250	
0.24	1.0189	1.0583	0.7686	1.0608	0.9046	
0.25	1.0769	1.0842	0.8334	1.0873	0.9040	
0.26	1.0765	1.1338	0.8917	1.0829	0.9661	
0.27	1.1033	1.1200	0.9255	1.0625	1.0179	
0.28	1.0445	0.9895	0.8864	1.0525	0.8810	
0.29	1.0062	1.0474	0.8955	1.0318	0.9682	
0.30	1.0720	1.1671	0.8412	1.0653	1.0182	
0.31	1.0606	1.2323	0.8240	1.0544	1.0405	
0.32	1.0824	1.2465	0.8563	1.0215	1.1105	
0.33	0.9424	1.1774	0.8894	1.0160	0.9765	
0.34	0.9008	1.1333	0.9575	0.9830	0.9553	
0.35	0.9056	1.1301	1.0109	0.9418	1.0553	
0.36	0.9573	1.2272	1.0907	0.9734	1.0852	
0.37	0.9872	1.1985	1.1849	0.9846	1.0631	
0.38	0.9643	1.2509	1.1337	1.0072	1.1389	
0.39	0.9632	1.2756	1.1518	0.9841	1.1533	
0.40	0.8943	1.2579	1.1737	0.9700	1.1263	
0.41	1.0621	1.2332	1.0567	1.0071	1.1917	
0.42	1.0763	1.2083	0.9552	1.0179	1.2070	
0.43	1.0987	1.1458	0.9373	1.0732	1.1974	
0.44	0.9991	1.1240	0.8887	1.1316	1.0478	
0.45	1.0455	1.2192	0.9347	1.0569	1.2907	
0.46	1.0683	1.3241	0.8758	1.0303	1.5253	
0.47	1.1412	1.3109	0.9112	1.0081	1.7133	
0.48	1.0140	1.2530	0.9077	0.9887	1.6576	
0.49	1.1805	1.3685	0.8948	0.9654	2.0136	
0.50	1.2162	1.3608	0.8204	1.0040	1.9752	
0.51	1.1430	1.3729	0.8376	0.9546	2.0561	
0.52	1.1793	1.2885	0.7426	0.9426	2.1604	
0.53	1.1215	1.3065	0.7060	0.9390	2.0879	
0.54	1.1038	1.2853	0.6985	0.9046	2.2118	
0.55	1.0770	1.3537	0.7511	0.9015	2.2536	
0.56	1.2565	1.3688	0.7324	0.9151	2.5711	
0.57	1.1720	1.3179	0.7539	0.9371	2.3908	
0.58	1.2460	1.2880	0.8075	0.9417	2.4635	
0.59	1.1721	1.2206	0.7450	0.9585	2.1499	
0.60	1.2651	1.2512	0.7570	0.9134	2.4868	
0.61	1.2284	1.3106	0.6713	0.9208	2.5167	
0.62	1.1802	1.3410	0.7129	0.9442	2.2813	
0.63	1.4437	1.2795	0.6665	0.9935	2.4491	
0.64	1.4515	1.2251	0.6912	1.0029	2.3671	
0.65	1.6065	1.2647	0.6669	1.0300	2.5655	
0.66	1.5314	1.3350	0.6652	1.0147	2.8067	
0.67	1.4946	1.2722	0.6795	1.0652	2.4009	
0.68	1.4524	1.2327	0.7832	1.0803	2.1857	
0.69	1.5149	1.3082	0.7537	1.0541	2.5102	
0.70	1.5135	1.2386	0.7597	1.0952	2.1999	
0.71	1.6168	1.2051	0.6716	1.1462	2.3222	
0.72	1.6301	1.1268	0.6793	1.1230	2.3920	
0.73	1.6835	1.0613	0.6846	1.1001	2.3383	
0.74	1.7162	1.0562	0.7680	1.0894	2.2801	
0.75	1.7961	1.1592	0.7635	1.0840	2.4786	
0.76	1.7942	1.2270	0.7890	1.0604	2.5268	
0.77	1.6814	1.1824	0.7600	1.0999	2.0473	
0.78	1.8188	1.1141	0.7726	1.1254	2.0504	
0.79	2.1232	1.1179	0.7613	1.1195	2.3933	
0.80	2.2391	1.0831	0.7211	1.1385	2.6202	
0.81	2.3534	1.0424	0.7866	1.1389	2.6553	
0.82	2.1904	1.0093	0.7881	1.0421	2.8043	
0.83	2.0760	1.0712	0.8013	0.9698	3.0676	
0.84	2.3346	1.0530	0.8259	1.0276	2.9637	
0.85	2.0439	1.0793	0.8122	1.0176	2.8077	
0.86	2.0230	1.1005	0.7412	1.0992	2.3527	
0.87	1.8721	1.1274	0.8389	1.0222	2.3026	
0.88	2.0778	1.1060	0.8603	1.0282	2.4818	
0.89	1.6649	1.1502	0.8566	1.0083	2.4599	
0.90	1.4979	1.1811	0.8433	1.0069	2.3925	
0.91	1.5264	1.1957	0.7810	1.0129	2.3742	
0.92	1.4082	1.2266	0.7418	1.0242	2.1754	
0.93	1.3970	1.3943	0.7601	1.0623	2.1125	
0.94	1.5247	1.3691	0.8158	1.0360	2.2841	
0.95	1.4304	1.2956	0.8399	1.0879	2.0816	
0.96	1.3308	1.3694	0.9101	1.0695	2.0896	
0.97	1.3518	1.3679	0.8191	1.1507	2.1426	
0.98	1.5385	1.2196	0.8537	1.1757	2.0324	
0.99	1.4181	1.2236	0.8788	1.1402	2.2743	
1.00	1.4572	1.2371	0.8718	1.1394	2.2906	
1.01	1.4222	1.1391	0.9224	1.1797	1.9288	
1.02	1.3029	1.1808	0.9924	1.2379	1.7168	
1.03	1.4165	1.1471	1.0650	1.2124	1.8846	
1.04	1.5528	1.1342	1.1381	1.2582	1.8273	
1.05	1.3656	1.0592	1.1313	1.2115	1.7120	
1.06	1.3253	0.9959	1.0170	1.2058	1.5677	
1.07	1.4238	0.9446	0.9882	1.1722	1.6971	
1.08	1.4470	0.9515	0.9148	1.1085	1.8918	
1.09	1.6843	0.9557	0.9526	1.1211	2.0887	
1.10	1.7102	1.0116	0.9190	1.1554	2.1806	
1.11	1.8847	1.0413	0.9389	1.1806	2.2683	
1.12	1.7095	1.0494	0.9269	1.1203	2.1992	
1.13	1.7254	0.9662	0.9300	1.1626	2.0391	
1.14	1.6402	0.9707	0.9866	1.1520	1.9181	
1.15	1.5392	0.9655	1.1016	1.0910	2.0173	
1.16	1.4607	0.9983	1.0476	1.1402	1.7341	
